company_id,sector,sector,capital_allocation
MARUTI,Unknown,Consumer Discretionary,Reinvestor
MARUTI,Unknown,Consumer Discretionary,Reinvestor
MOTHERSON,Unknown,Consumer Discretionary,Cash Generator
MOTHERSON,Unknown,Consumer Discretionary,Cash Generator
NAUKRI,Unknown,Communication Services,Reinvestor
NAUKRI,Unknown,Communication Services,Reinvestor
NESTLEIND,Unknown,Consumer Staples,Cash Generator
NESTLEIND,Unknown,Consumer Staples,Cash Generator
NHPC,Unknown,Energy,Reinvestor
NHPC,Unknown,Energy,Reinvestor
NTPC,Unknown,Energy,Reinvestor
NTPC,Unknown,Energy,Reinvestor
ONGC,Unknown,Energy,Reinvestor
ONGC,Unknown,Energy,Reinvestor
PFC,Unknown,Financials,Distress Signal
PFC,Unknown,Financials,Distress Signal
PIDILITIND,Unknown,Materials,Deleveraging
PIDILITIND,Unknown,Materials,Deleveraging
PNB,Unknown,Financials,Distress Signal
PNB,Unknown,Financials,Distress Signal
PNB,Unknown,Financials,Distress Signal
PNB,Unknown,Financials,Distress Signal
PNB,Unknown,Financials,Distress Signal
POWERGRID,Unknown,Energy,Deleveraging
POWERGRID,Unknown,Energy,Deleveraging
POWERGRID,Unknown,Energy,Deleveraging
POWERGRID,Unknown,Energy,Deleveraging
RECLTD,Unknown,Financials,Distress Signal
RECLTD,Unknown,Financials,Distress Signal
RELIANCE,Unknown,Energy,Deleveraging
RELIANCE,Unknown,Energy,Deleveraging
SBILIFE,Unknown,Financials,Reinvestor
SBILIFE,Unknown,Financials,Reinvestor
SBIN,Unknown,Financials,Cash Generator
SHREECEM,Unknown,Materials,Cash Generator
SHREECEM,Unknown,Materials,Cash Generator
SHRIRAMFIN,Unknown,Financials,Distress Signal
SHRIRAMFIN,Unknown,Financials,Distress Signal
SIEMENS,Unknown,Industrials,Asset Light Compounder
SUNPHARMA,Unknown,Healthcare,Deleveraging
SUNPHARMA,Unknown,Healthcare,Deleveraging
TATACONSUM,Unknown,Consumer Staples,Reinvestor
TATACONSUM,Unknown,Consumer Staples,Reinvestor
TATAMOTORS,Unknown,Consumer Discretionary,Deleveraging
TATAMOTORS,Unknown,Consumer Discretionary,Deleveraging
TATAPOWER,Unknown,Energy,Reinvestor
TATAPOWER,Unknown,Energy,Reinvestor
TATASTEEL,Unknown,Materials,Cash Generator
TATASTEEL,Unknown,Materials,Cash Generator
TCS,Unknown,Information Technology,Asset Light Compounder
TCS,Unknown,Information Technology,Asset Light Compounder
TECHM,Unknown,Information Technology,Deleveraging
TECHM,Unknown,Information Technology,Deleveraging
TECHM,Unknown,Information Technology,Deleveraging
TECHM,Unknown,Information Technology,Deleveraging
TITAN,Unknown,Consumer Discretionary,Cash Generator
TITAN,Unknown,Consumer Discretionary,Cash Generator
TORNTPHARM,Unknown,Healthcare,Deleveraging
TORNTPHARM,Unknown,Healthcare,Deleveraging
TRENT,Unknown,Consumer Discretionary,Balanced
TRENT,Unknown,Consumer Discretionary,Balanced
TVSMOTOR,Unknown,Consumer Discretionary,Distress Signal
TVSMOTOR,Unknown,Consumer Discretionary,Distress Signal
ULTRACEMCO,Unknown,,Reinvestor
ULTRACEMCO,Unknown,,Reinvestor
UNIONBANK,Unknown,,Cash Generator
UNITDSPR,Unknown,,Cash Generator
UNITDSPR,Unknown,,Cash Generator
VEDL,Unknown,,Deleveraging
VEDL,Unknown,,Deleveraging
WIPRO,Unknown,,Cash Generator
WIPRO,Unknown,,Cash Generator
ZOMATO,Unknown,,Cash Generator
ZOMATO,Unknown,,Cash Generator
ZYDUSLIFE,Unknown,,Deleveraging
ZYDUSLIFE,Unknown,,Deleveraging
