company_id,start_year,end_year,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,roce_pct
ABB,2012.0,2024.0,11.105117751722293,19.2654314941743,19.296662714488598,47.50069812901424
ADANIENSOL,2014.0,2024.0,,,,10.537720438710538
ADANIENT,2013.0,2024.0,6.880599865544146,9.58927403560983,5.838197243290355,10.23764950172903
ADANIGREEN,2017.0,2024.0,51.55676088829046,,,10.999153911237597
ADANIPORTS,2013.0,2024.0,20.05470934648075,15.638343462810699,15.217275357513383,15.102962075403351
ADANIPOWER,2013.0,2024.0,20.137190057024966,,,30.014200450570687
AMBUJACEM,2012.0,2024.0,10.740004704043372,11.436563787341791,5.946309435929531,15.249731209070472
APOLLOHOSP,2013.0,2024.0,15.874678708463708,10.786818124561126,10.036809109167045,16.803388918773535
ASIANPAINT,2013.0,2024.0,11.705320941335007,15.308162187698926,15.217275357513383,40.925024342745864
ATGL,2018.0,2024.0,21.749648996859293,26.632031656572728,0.0,21.721311475409834
AXISBANK,2013.0,2024.0,13.491503789065007,15.327766208974714,12.579732538776156,2.6133269068562477
BAJAJ-AUTO,2013.0,2024.0,7.610103604680107,8.528488754088425,8.904072491972158,28.889686395759718
BAJAJFINSV,2013.0,2024.0,26.866929375263293,19.419000777252027,15.96436693564951,10.563824289405686
BAJAJHLDNG,2013.0,2024.0,15.861476721965072,13.349003708686812,13.197299072697287,12.575580424252546
BAJFINANCE,2015.0,2024.0,29.432552886480103,36.166120037292785,32.912193072422454,3.92559017665764
BANKBARODA,2013.0,2024.0,11.305257440365612,13.190071553549942,4.157034373446256,2.820637646379921
BEL,2013.0,2024.0,11.250824192187213,14.357470570225338,15.755791177065447,3385.207100591716
BHARTIARTL,2013.0,2024.0,6.2550960049664095,12.835911623041918,11.310171272365043,23.94582889530737
BHEL,2013.0,2024.0,-6.303928938384695,-25.01641376179441,-23.107440439668736,3.9577519728748465
BOSCHLTD,2012.0,2024.0,5.640194734967041,8.285295620566725,8.85211803913608,28.67100007831467
BPCL,2013.0,2024.0,5.752972110070154,27.009133548312626,28.29566215651922,34.64570403270877
BRITANNIA,2013.0,2024.0,9.49111037408743,21.090760318638814,20.93310705080047,56.63983903420523
CANBK,2013.0,2024.0,11.291100655809627,16.05134826357628,3.217089051352806,3.1560701628619485
CHOLAFIN,2013.0,2024.0,20.038605985259327,24.463846126875378,23.56173213125261,3.015823455289539
CIPLA,2013.0,2024.0,10.875788653165653,9.407957360203856,9.391436399359222,67.67624202053844
COALINDIA,2013.0,2024.0,6.901870831390378,7.220628498640447,7.690832361639011,90.74442617749703
DABUR,2013.0,2024.0,6.601431123318302,8.13637059268537,8.68669042424839,23.79065543998679
DIVISLAB,2013.0,2024.0,12.511490330230668,9.293175538754372,9.108019848274873,18.54280510018215
DLF,2013.0,2024.0,-1.713766189354271,13.645656730642287,9.632504585723002,5.964013747557113
DMART,2013.0,2024.0,28.069240831008923,34.925132785944115,31.001380940515944,20.38751139034099
DRREDDY,2013.0,2024.0,8.148686685959095,12.4990986817211,12.691489174966097,24.83498581580204
EICHERMOT,2012.0,2024.0,8.245736687076466,19.432606872002633,23.149022079778447,30.181086519114686
GAIL,2013.0,2024.0,9.1268267432707,7.727301367309192,8.68669042424839,16.42095494049748
GODREJCP,2013.0,2024.0,7.423727060784069,,,4.675584448056007
GRASIM,2013.0,2024.0,15.090977827591324,9.178590535646913,3.699517013043385,11.143195115442673
HAL,2016.0,2024.0,7.720282781323262,18.165728505247316,19.184108556600755,3519.0332326283988
HAVELLS,2013.0,2024.0,9.095733038077537,7.375774829170223,7.529130766771397,26.212158503568794
HCLTECH,2013.0,2024.0,14.171422760513487,13.140400280754406,13.793689325485037,34.41057509442049
HDFCBANK,2013.0,2024.0,20.684308275577834,22.688572169378183,17.690395624285273,4.887343889375092
HDFCLIFE,2013.0,2024.0,19.68416652339917,12.124300302065084,12.062609509010835,609.8344810921832
HEROMOTOCO,2014.0,2024.0,4.104001615840858,5.936862676941823,5.941283634174321,166.1717434562988
HINDALCO,2013.0,2024.0,9.424055656737607,11.699102037847965,9.856711303638566,109.06463791977745
HINDUNILVR,2013.0,2024.0,7.832230713093313,9.369522756745852,8.464871603605072,90.14629866290271
ICICIBANK,2013.0,2024.0,12.218358333209721,14.76520128002361,13.93549051581564,5.219877597590544
ICICIGI,2013.0,2024.0,15.97765224573795,16.639454275371392,15.489671829561292,131.54495412844037
ICICIPRULI,2013.0,2024.0,14.674823654977477,-5.108172309071057,-5.361257620211779,796.04285467427
INDIGO,2013.0,2024.0,20.083457250362848,23.700547063638933,-35.335850219780816,5405.652620760535
INDUSINDBK,2013.0,2024.0,18.634724097261078,21.3924298826202,17.235924663573265,3.563199589661572
INFY,2013.0,2024.0,12.925778520018305,9.754152854304344,10.50315033964666,41.43975339236604
IOC,2013.0,2024.0,4.836190767394699,25.24970800474813,23.284673944206613,23.50427970194363
IRCTC,2015.0,2024.0,16.75656887152892,26.81198686210522,0.826821355230245,44.09537166900421
IRFC,2013.0,2024.0,15.328974691952645,25.611489241274054,-29.166628804495797,5.834667910316426
ITC,2013.0,2024.0,7.612806258058069,9.425931069584559,9.326244608521828,38.423977768955936
JINDALSTEL,2013.0,2024.0,8.85233565621637,6.567875276514168,5.860343768416909,16.032318479421733
JIOFIN,2023.0,2024.0,4022.222222222222,5077.419354838709,,1.4495712535728869
JSWENERGY,2013.0,2024.0,2.3774029377553463,6.082124773909836,4.753385601472959,9.95172038623691
JSWSTEEL,2013.0,2024.0,14.836415332434116,22.89617308834133,22.10946234986555,16.954220118451442
KOTAKBANK,2013.0,2024.0,16.14663613994591,20.99701968825094,17.925785822037852,7.231227684955393
LICI,2019.0,2024.0,8.15986061977938,73.17556747076097,,48.755210093500054
LODHA,2011.0,2024.0,12.728762377563596,14.6090748278618,7.836758691255419,10.365247955986858
LT,2013.0,2024.0,10.405310503196397,10.294879060950723,8.68669042424839,144.06221956326652
LTIM,2013.0,2024.0,22.38122500495996,21.02441783355038,-1.0456778502113573,30.29357719755566
M&M,2013.0,2024.0,6.622689238448531,10.407854591201438,9.659926439941646,15.04702529010494
MARUTI,2013.0,2024.0,11.159464241324478,16.687082706804567,16.2334749519472,25.619371891940325
MOTHERSON,2013.0,2024.0,13.17358395870858,18.84695147757793,13.431252219546263,16.299460818935074
NAUKRI,2013.0,2024.0,16.515171117605696,20.571804647248214,16.76312212201012,2.4117591095043287
NESTLEIND,2013.0,2024.0,9.377179141984705,12.123679940401999,11.817384166395772,136.9724770642202
NHPC,2013.0,2024.0,3.8142728347956956,3.1196090427092926,6.504108943996267,9.193238209228204
